collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
+-----------------------------------------------+-------+
|           Stardust Dragon Ghost 1st           |  1699 |
|         Ancient Fairy Dragon Ghost 1st        |  649  |
|       Cyber Dark Dragon Ultimate 1st GER      |  584  |
|       Red Dragon Archfiend Ultimate 1st       |  297  |
|           Stardust Dragon Ghost Unl           |  289  |
|       Cyber Twin Dragon Ultimate 1st GER      |  239  |
|     Trishula, Dragon of the Ice Barrier DT    |  239  |
|         Shooting Star Dragon Ghost 1st        |  236  |
|          Black Rose Dragon Ghost Unl          |  205  |
|           Goyo Guardian Ultimate 1st          |  189  |
|         Ancient Fairy Dragon Ghost Unl        |  179  |
|         Power Tool Dragon Ultimate 1st        |  123  |
|         Flame Wingman Ultimate 1st UDE        |   94  |
|          Colossal Fighter Ultimate TU         |   88  |
|                   Brionac DT                  |   87  |
|              Leviathan Ghost 1st              |   81  |
|    Thought Ruler Archfiend Ultimate 1st FR    |   79  |
|              Leviair Ultimate 1st             |   70  |
|               Catastor Ultimate               |   69  |
|      Avenging Knight Parshath Secret 1st      |   51  |
|             Drill Warrior UTR 1st             |   45  |
|          Red Nova Dragon Ultimate 1st         |   42  |
|      Scrap Dragon Ultimate 1st 1 EN 1 GER     |   42  |
|          Thousand Eyes Restrict RP02          |   30  |
|                 Laggia UTR 1st                |   28  |
|                  Junk Archer                  |   16  |
|                 Nitro Warrior                 |   14  |
|              Wind Up Zenmaity UTR             |   14  |
|               Dolkka Secret 1st               |   10  |
|               Zenmaines Scr 1st               |   8   |
|              Armory Arm Ultra 1st             |   6   |
|                 Turbo Warrior                 |   6   |
|                 Utopia Ray UTR                |   5   |
|                 Zenmaister UTR                |   4   |
|                Wind up Zenmaioh               |   2   |
|                   Acid Golem                  |   0   |
|            B Skull Dragon BPT 2002            |   0   |
|                  Catastor DTP                 |   0   |
|            Chimeratech Ultimate GER           |   0   |
|       Cyber Dark Dragon Ultimate UNL GER      |   0   |
|     Cyber End Dragon Ultimate UNL ITA GER     |   0   |
|                Dark Paladin DMG               |   0   |
| Formula Synchron ULTRA Advent Calendar GERMAN |   0   |
|                Hyper Librarian                |   0   |
|           Thousand Eyes Restrict MC1          |   0   |
|                     Utopia                    |   0   |
|                      test                     |   0   |
+-----------------------------------------------+-------+
collection_old_school - 2022-12-29
+-------------------------------------------+-------+
|                    Card                   | Price |
+-------------------------------------------+-------+
|       Dark Magician Girl Secret 1st       |  2498 |
|  Winged kurbio lvl 10 ultimate 1st german |  494  |
